Timestamp,Review
2025/02/10 8:08:31 pm GMT+8,"As a final year student, I have a mixed review or opinion about UNITEN. I loved the education. The syllabus taught to students are very comprehensive and up to date to the industry standard. This prepares students in the working industry when they graduate.

As for the facilities, its quite poor in quality. Example includes, roof leakage, broken toilet and damaged roads. There is also poor security controls. Anybody can enter in and out of UNITEN whether they are a student or complete stranger. This poses a threat to all of UNITEN community from students to staffs. 

Would i recommend this university to someone i know? No i would not. There are other universities out there that are miles better than UNITEN. Make a proper research about the university before you enroll because you are going to spend 3-4 years there and potentially have a bright future ahead waiting for you. "
2025/02/10 8:08:34 pm GMT+8,"It’s a great place to study but for me the are lot of things that need to improve?? wifi connection is the priority since there a lot of bad connections, the things that i have the issue since first semester, which is the we not have any “baju koperat” or tshirt that shows we are the uniten student like the main shirt of UNITEN, this happens because during that time, i have go to the outside event like involved with a lot of university, UNITEN students is the only have not the same shirt, like we just use our own shirts, there are the person like literally “halau” us thought we are just outsiders haha, and the positive think that i like about UNITEN is they have a very good lecturer ❤️"
2025/02/10 8:08:38 pm GMT+8,"first I would say the facility where the student learn is very comfortable with comfortable chair and having aircon in every classroom. The food here is amazing and affordable. The accomodation for the student is nice but the problem is always the internet not being able to connect to wifi sometimes. Other then that, parking need to be improve so that more student can park their car."
2025/02/10 8:09:03 pm GMT+8,"Academically, UNITEN provides courses that focus more on technology and future development. This positively impacts the current national agenda, which aims to achieve sustainable economic growth and technological advancement. UNITEN has many experienced lecturers who are actively working in the industry, helping to develop students’ skills and prepare them for the workforce.  "
2025/02/10 8:10:42 pm GMT+8,for an energy university Im impressed with the ev bus implemented but damn the wifi sucks
2025/02/10 8:10:47 pm GMT+8,Uniten has mostly very good lecturers and has sufficient facilities. But accomodation for students are lacking in terms of class schedules and flexibility.
2025/02/10 8:12:13 pm GMT+8,#NAME?
2025/02/10 8:13:29 pm GMT+8,I feel neither good nor bad towards UNITEN. There are some aspects that I like such as the courses & syllabuses taught to us students. They are relevant for our future because I’ve used those knowledge during my internship and they were shocked that I know such things. The environment itself is also not bad. Library is comfortable. Classes have full lightings to study in. What I dont like is the lack of concerns towards students’ practicality. Less parking spots. Difficulty to access uniten brighten or any uniten website during the release of examination results. Poor wifi connectivity.
2025/02/10 8:14:54 pm GMT+8,moderate 
2025/02/10 8:17:27 pm GMT+8,the facilities are not really good
2025/02/10 8:22:41 pm GMT+8,"UNITEN is a great university. However there are some room of improvements with the issues on accommodations, studies, curriculums and others"
2025/02/10 9:12:13 pm GMT+8,Student info yg old school.aplikasi student life yg tak funtion.kos bayar mahal tpi ni je dapat
2025/02/10 9:13:11 pm GMT+8,"Saya merasakan uniten perlu improve dari segi system delay mereka dalam aspek student info ia akan mengganggu student untuk akses dalam web itu,Dari aspek kos pendidikan,ia terlalu mahal dan tidak mengikut harga yang di bayar mahal tersebut.Jika servis perkhidmatan pendidikan ia mahal perlulah mengikut prosedur tersebut.Maaf hanya sekadar hujahan sahaja."
